,Unnamed: 0,Unnamed: 0.1,Date,PlayerID,Training,SessionType,Duration,RPE,SessionLoad,DailyLoad,AcuteLoad,ChronicLoad,AcuteChronicRatio,ObjectiveRating,FocusRating,BestOutOfMyself,SessionTypeMobility/Recovery,SessionTypeGame,SessionTypeSkills,SessionTypeConditioning,SessionTypeStrength,SessionTypeCombat,SessionTypeSpeed,SessionTypeUnknown,BestOutOfMyselfNotAtAll,BestOutOfMyselfAbsolutely,BestOutOfMyselfSomewhat,BestOutOfMyselfUnknown,TimeSinceAugFirst
0,0,0,2018-07-21,13,1,Mobility/Recovery,5.0,0.0,0.0,446.0,323.1,303.25,1.07,0.0,0.0,Not at all,1,0,0,0,0,0,0,0,1,0,0,0,354
1,1,1,2018-07-21,13,1,Game,29.0,7.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,Not at all,0,1,0,0,0,0,0,0,1,0,0,0,354
2,2,2,2018-07-21,13,1,Game,27.0,9.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,Not at all,0,1,0,0,0,0,0,0,1,0,0,0,354
3,3,3,2018-07-20,11,1,Game,36.0,6.0,216.0,534.0,256.3,344.18,0.74,9.0,10.0,Absolutely,0,1,0,0,0,0,0,0,0,1,0,0,353
4,4,4,2018-07-20,11,1,Game,36.0,8.0,288.0,0.0,0.0,0.0,0.0,9.0,10.0,Absolutely,0,1,0,0,0,0,0,0,0,1,0,0,353
5,5,5,2018-07-20,11,1,Mobility/Recovery,15.0,2.0,30.0,0.0,0.0,0.0,0.0,9.0,10.0,Absolutely,1,0,0,0,0,0,0,0,0,1,0,0,353
6,6,6,2018-07-20,13,1,Game,27.0,6.0,162.0,306.0,259.4,287.32,0.9,0.0,0.0,Not at all,0,1,0,0,0,0,0,0,1,0,0,0,353
7,7,7,2018-07-20,13,1,Game,24.0,6.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,Not at all,0,1,0,0,0,0,0,0,1,0,0,0,353
8,8,8,2018-07-20,13,1,Mobility/Recovery,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not at all,1,0,0,0,0,0,0,0,1,0,0,0,353
9,9,9,2018-07-19,1,1,Skills,60.0,3.0,180.0,180.0,87.9,140.54,0.63,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,352
10,10,10,2018-07-19,2,1,Skills,60.0,4.0,240.0,240.0,117.1,279.96,0.42,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,352
11,11,11,2018-07-19,6,1,Conditioning,20.0,9.0,180.0,380.0,107.1,301.54,0.36,8.0,8.0,,0,0,0,1,0,0,0,0,0,0,0,1,352
12,12,12,2018-07-19,6,1,Strength,30.0,4.0,120.0,0.0,0.0,0.0,0.0,8.0,8.0,,0,0,0,0,1,0,0,0,0,0,0,1,352
13,13,13,2018-07-19,6,1,Combat,20.0,4.0,80.0,0.0,0.0,0.0,0.0,8.0,8.0,,0,0,0,0,0,1,0,0,0,0,0,1,352
14,14,14,2018-07-19,7,1,Skills,60.0,5.0,300.0,300.0,141.4,342.32,0.41,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,352
15,15,15,2018-07-19,10,1,Skills,75.0,4.0,300.0,300.0,122.1,250.0,0.49,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,352
16,16,16,2018-07-19,11,1,Skills,90.0,5.0,450.0,450.0,180.0,325.11,0.55,9.0,9.0,Absolutely,0,0,1,0,0,0,0,0,0,1,0,0,352
17,17,17,2018-07-19,13,1,Skills,90.0,6.0,540.0,540.0,215.7,276.39,0.78,0.0,0.0,Not at all,0,0,1,0,0,0,0,0,1,0,0,0,352
18,18,18,2018-07-19,13,1,Mobility/Recovery,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not at all,1,0,0,0,0,0,0,0,1,0,0,0,352
19,19,19,2018-07-19,16,1,Skills,60.0,4.0,240.0,240.0,102.9,348.57,0.3,7.0,10.0,Absolutely,0,0,1,0,0,0,0,0,0,1,0,0,352
20,20,20,2018-07-18,1,0,,0.0,0.0,0.0,0.0,62.1,159.46,0.39,0.0,0.0,,0,0,0,0,0,0,0,1,0,0,0,1,351
21,21,21,2018-07-18,2,0,,0.0,0.0,0.0,0.0,82.9,316.57,0.26,0.0,0.0,,0,0,0,0,0,0,0,1,0,0,0,1,351
22,22,22,2018-07-18,3,0,,0.0,0.0,0.0,0.0,105.0,372.25,0.28,0.0,0.0,Absolutely,0,0,0,0,0,0,0,1,0,1,0,0,351
23,23,23,2018-07-18,6,0,,0.0,0.0,0.0,0.0,52.9,333.5,0.16,0.0,0.0,,0,0,0,0,0,0,0,1,0,0,0,1,351
24,24,24,2018-07-18,7,0,,0.0,0.0,0.0,0.0,98.6,372.86,0.26,0.0,0.0,Absolutely,0,0,0,0,0,0,0,1,0,1,0,0,351
25,25,25,2018-07-18,10,0,,0.0,0.0,0.0,0.0,79.3,271.43,0.29,0.0,0.0,Somewhat,0,0,0,0,0,0,0,1,0,0,1,0,351
26,26,26,2018-07-18,11,0,,0.0,0.0,0.0,0.0,115.7,351.36,0.33,0.0,0.0,Absolutely,0,0,0,0,0,0,0,1,0,1,0,0,351
27,27,27,2018-07-18,13,1,Mobility/Recovery,30.0,0.0,0.0,0.0,138.6,280.68,0.49,0.0,0.0,Not at all,1,0,0,0,0,0,0,0,1,0,0,0,351
28,28,28,2018-07-18,16,0,,0.0,0.0,0.0,0.0,68.6,378.21,0.18,0.0,0.0,Absolutely,0,0,0,0,0,0,0,1,0,1,0,0,351
29,29,29,2018-07-17,1,1,Skills,60.0,3.0,180.0,195.0,62.1,173.93,0.36,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,350
30,30,30,2018-07-17,1,1,Mobility/Recovery,30.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,1,350
