"","X","Unnamed..0","Date","PlayerID","Training","SessionType","Duration","RPE","SessionLoad","DailyLoad","AcuteLoad","ChronicLoad","AcuteChronicRatio","ObjectiveRating","FocusRating","BestOutOfMyself","SessionTypeMobility.Recovery","SessionTypeGame","SessionTypeSkills","SessionTypeConditioning","SessionTypeStrength","SessionTypeCombat","SessionTypeSpeed","SessionTypeUnknown","BestOutOfMyselfNotAtAll","BestOutOfMyselfAbsolutely","BestOutOfMyselfSomewhat","BestOutOfMyselfUnknown","TimeSinceAugFirst"
"1",0,0,"2018-07-21",13,1,"Mobility/Recovery",5,0,0,446,323.1,303.25,1.07,8,8,"Not at all",1,0,0,0,0,0,0,0,1,0,0,0,354
"2",1,1,"2018-07-21",13,1,"Game",29,7,203,580,299.3,334.29,0.92,8,8,"Not at all",0,1,0,0,0,0,0,0,1,0,0,0,354
"3",2,2,"2018-07-21",13,1,"Game",27,9,243,580,299.3,334.29,0.92,8,8,"Not at all",0,1,0,0,0,0,0,0,1,0,0,0,354
"4",3,3,"2018-07-20",11,1,"Game",36,6,216,534,256.3,344.18,0.74,9,10,"Absolutely",0,1,0,0,0,0,0,0,0,1,0,0,353
"5",4,4,"2018-07-20",11,1,"Game",36,8,288,580,299.3,334.29,0.92,9,10,"Absolutely",0,1,0,0,0,0,0,0,0,1,0,0,353
"6",5,5,"2018-07-20",11,1,"Mobility/Recovery",15,2,30,580,299.3,334.29,0.92,9,10,"Absolutely",1,0,0,0,0,0,0,0,0,1,0,0,353
"7",6,6,"2018-07-20",13,1,"Game",27,6,162,306,259.4,287.32,0.9,8,8,"Not at all",0,1,0,0,0,0,0,0,1,0,0,0,353
"8",7,7,"2018-07-20",13,1,"Game",24,6,144,580,299.3,334.29,0.92,8,8,"Not at all",0,1,0,0,0,0,0,0,1,0,0,0,353
"9",8,8,"2018-07-20",13,1,"Mobility/Recovery",10,0,0,580,299.3,334.29,0.92,8,8,"Not at all",1,0,0,0,0,0,0,0,1,0,0,0,353
"10",9,9,"2018-07-19",1,1,"Skills",60,3,180,180,87.9,140.54,0.63,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,352
"11",10,10,"2018-07-19",2,1,"Skills",60,4,240,240,117.1,279.96,0.42,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,352
"12",11,11,"2018-07-19",6,1,"Conditioning",20,9,180,380,107.1,301.54,0.36,8,8,"",0,0,0,1,0,0,0,0,0,0,0,1,352
"13",12,12,"2018-07-19",6,1,"Strength",30,4,120,580,299.3,334.29,0.92,8,8,"",0,0,0,0,1,0,0,0,0,0,0,1,352
"14",13,13,"2018-07-19",6,1,"Combat",20,4,80,580,299.3,334.29,0.92,8,8,"",0,0,0,0,0,1,0,0,0,0,0,1,352
"15",14,14,"2018-07-19",7,1,"Skills",60,5,300,300,141.4,342.32,0.41,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,352
"16",15,15,"2018-07-19",10,1,"Skills",75,4,300,300,122.1,250,0.49,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,352
"17",16,16,"2018-07-19",11,1,"Skills",90,5,450,450,180,325.11,0.55,9,9,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,352
"18",17,17,"2018-07-19",13,1,"Skills",90,6,540,540,215.7,276.39,0.78,8,8,"Not at all",0,0,1,0,0,0,0,0,1,0,0,0,352
"19",18,18,"2018-07-19",13,1,"Mobility/Recovery",30,0,0,580,299.3,334.29,0.92,8,8,"Not at all",1,0,0,0,0,0,0,0,1,0,0,0,352
"20",19,19,"2018-07-19",16,1,"Skills",60,4,240,240,102.9,348.57,0.3,7,10,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,352
"21",20,20,"2018-07-18",1,0,"",60,4,216,580,62.1,159.46,0.39,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,351
"22",21,21,"2018-07-18",2,0,"",60,4,216,580,82.9,316.57,0.26,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,351
"23",22,22,"2018-07-18",3,0,"",60,4,216,580,105,372.25,0.28,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,351
"24",23,23,"2018-07-18",6,0,"",60,4,216,580,52.9,333.5,0.16,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,351
"25",24,24,"2018-07-18",7,0,"",60,4,216,580,98.6,372.86,0.26,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,351
"26",25,25,"2018-07-18",10,0,"",60,4,216,580,79.3,271.43,0.29,8,8,"Somewhat",0,0,0,0,0,0,0,1,0,0,1,0,351
"27",26,26,"2018-07-18",11,0,"",60,4,216,580,115.7,351.36,0.33,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,351
"28",27,27,"2018-07-18",13,1,"Mobility/Recovery",30,0,0,0,138.6,280.68,0.49,8,8,"Not at all",1,0,0,0,0,0,0,0,1,0,0,0,351
