"","TimeSinceAugFirst","slidingWorkAverage"
"1",20,5563.95
"2",21,5895.66666666667
"3",22,6307.42857142857
"4",23,6331.71428571429
"5",24,6458.52380952381
"6",25,6752.33333333333
"7",26,6767.33333333333
"8",27,6766.61904761905
"9",28,6738.42857142857
"10",29,6798.66666666667
"11",30,6811.38095238095
"12",31,6813.7619047619
"13",32,6881.85714285714
"14",33,6840.42857142857
"15",34,6834.71428571429
"16",35,6788.47619047619
"17",36,6711.09523809524
"18",37,6720.61904761905
"19",38,6781.33333333333
"20",39,6495.04761904762
"21",40,6617.90476190476
"22",41,6578.85714285714
"23",42,6122.66666666667
"24",43,5613.04761904762
"25",44,5671
"26",45,5383.2380952381
"27",46,4878.52380952381
"28",47,4872.90476190476
"29",48,4874.33333333333
"30",49,4910.85714285714
"31",50,4796.80952380952
"32",51,4867.42857142857
"33",52,5067.90476190476
"34",53,5234.04761904762
"35",54,5216.19047619048
"36",55,5235.47619047619
"37",56,5313.09523809524
"38",57,5416.90476190476
"39",58,5454.90476190476
"40",59,5578.47619047619
"41",60,5850.80952380952
"42",61,5744.38095238095
"43",62,5768.66666666667
"44",63,6210.71428571429
"45",64,6592.95238095238
"46",65,6613.90476190476
"47",66,6986.7619047619
"48",67,7557.09523809524
"49",68,7567.71428571429
"50",69,7583.42857142857
"51",70,7640.33333333333
"52",71,7712.38095238095
"53",72,7741.19047619048
"54",73,7612.85714285714
"55",74,7466
"56",75,7487.42857142857
"57",76,7480.28571428571
"58",77,7064.61904761905
"59",78,6618.42857142857
"60",79,6647.38095238095
"61",80,6575.95238095238
"62",81,5935.85714285714
"63",82,6326.33333333333
"64",83,7005.38095238095
"65",84,6509.52380952381
"66",85,6314.66666666667
"67",86,6331
"68",87,5901.95238095238
"69",88,5370.85714285714
"70",89,5633.80952380952
"71",90,5935.52380952381
"72",91,5317.66666666667
"73",92,4865.38095238095
"74",93,4682.7619047619
"75",94,4640.61904761905
"76",95,4585.61904761905
"77",96,4604.66666666667
"78",97,4592.52380952381
"79",98,5018.95238095238
"80",99,5509.19047619048
"81",100,5545.38095238095
"82",101,5570.52380952381
"83",102,6642.42857142857
"84",103,6281.95238095238
"85",104,5579.19047619048
"86",105,6177.7619047619
"87",106,6478.2380952381
"88",107,6441.33333333333
"89",108,7018.95238095238
"90",109,7771.09523809524
"91",110,7487.42857142857
"92",111,7168.57142857143
"93",112,7570.95238095238
"94",113,7856.38095238095
"95",114,7973.7619047619
"96",115,7617.33333333333
"97",116,7176.85714285714
"98",117,7260.66666666667
"99",118,7479.2380952381
"100",119,7162.33333333333
"101",120,6722.57142857143
"102",121,6734.71428571429
"103",122,6630
"104",123,6050.57142857143
"105",124,6004.14285714286
"106",125,6003.57142857143
"107",126,5477.38095238095
"108",127,4982.38095238095
"109",128,4995.71428571429
"110",129,4822.14285714286
"111",130,4590
"112",131,4634.28571428571
"113",132,4634.28571428571
"114",133,4787.61904761905
"115",134,4950.19047619048
"116",135,5018.52380952381
"117",136,5628.90476190476
"118",137,6380.04761904762
"119",138,6255.7619047619
"120",139,6037.19047619048
"121",140,6435.90476190476
"122",141,6408.04761904762
"123",142,6788.90476190476
"124",143,6869.19047619048
"125",144,6356.95238095238
"126",145,6463.14285714286
"127",146,6653.61904761905
"128",147,6511.71428571429
"129",148,6512.95238095238
"130",149,6397.71428571429
"131",150,6617.2380952381
"132",151,6094.85714285714
"133",152,6766.28571428571
"134",153,6873.19047619048
"135",154,6273.19047619048
"136",155,6500.61904761905
"137",156,6401.80952380952
"138",157,6452.2380952381
"139",158,6449.42857142857
"140",159,6518
"141",160,6518
"142",161,6399.7619047619
"143",162,6653.19047619048
"144",163,6260.19047619048
"145",164,6179.2380952381
"146",165,6804.2380952381
"147",166,6751.14285714286
"148",167,6560.66666666667
"149",168,6990.90476190476
"150",169,6975.14285714286
"151",170,6970.14285714286
"152",171,6734.80952380952
"153",172,6583.04761904762
"154",173,6174.2380952381
"155",174,6067.33333333333
"156",175,6419.2380952381
"157",176,6005.47619047619
"158",177,5965.57142857143
"159",178,5539.04761904762
"160",179,5201.80952380952
"161",180,5306
"162",181,5357.33333333333
"163",182,4840.19047619048
"164",183,4516.04761904762
"165",184,4437.38095238095
"166",185,4148.19047619048
"167",186,3595.90476190476
"168",187,3589
"169",188,3614.71428571429
"170",189,3615.90476190476
"171",190,4194.09523809524
"172",191,4347.19047619048
"173",192,4576.33333333333
"174",193,5244.28571428571
