xVal, yVal, degree, r2, rmse
DailyLoad, fatigue, 1, 0.0004609869345519879, 0.9414140376537236
DailyLoad, fatigue, 2, 0.01081491590759509, 0.9365254300145728
DailyLoad, fatigue, 3, 0.013075886827278227, 0.9354545140938101
DailyLoad, fatigue, 4, 0.013871725612309982, 0.9350772707390621
DailyLoad, fatigue, 5, 0.013872676932596972, 0.9350768197033221
DailyLoad, fatigueSliding, 1, 0.0026508263511236807, 0.4372333179520449
DailyLoad, fatigueSliding, 2, 0.007885710862688966, 0.4360843335533719
DailyLoad, fatigueSliding, 3, 0.010453728094075743, 0.43551958123003714
DailyLoad, fatigueSliding, 4, 0.010618419541746138, 0.43548333768237124
DailyLoad, fatigueSliding, 5, 0.011054975220036178, 0.4353872505388315
DailyLoadSliding, fatigue, 1, 0.001007476257176232, 0.941156647470284
DailyLoadSliding, fatigue, 2, 0.0041354732881003775, 0.9396820401931253
DailyLoadSliding, fatigue, 3, 0.004514872966836503, 0.9395030253688605
DailyLoadSliding, fatigue, 4, 0.005761692732279999, 0.9389144892249708
DailyLoadSliding, fatigue, 5, 0.006289206491891797, 0.9386653758974035
DailyLoadSliding, fatigueSliding, 1, 0.0031444511918343743, 0.4371251031238283
DailyLoadSliding, fatigueSliding, 2, 0.040056224206406754, 0.42895578674747
DailyLoadSliding, fatigueSliding, 3, 0.041810676926411716, 0.4285636143895305
DailyLoadSliding, fatigueSliding, 4, 0.043351953300678536, 0.4282187969331779
DailyLoadSliding, fatigueSliding, 5, 0.04337784655749255, 0.4282130016700456
acuteChronicRatio, fatigue, 1, 0.004893031104526879, 0.939324562400607
acuteChronicRatio, fatigue, 2, 0.010946789100278687, 0.9364630014979419
acuteChronicRatio, fatigue, 3, 0.011919998647313523, 0.9360021572138951
acuteChronicRatio, fatigue, 4, 0.015834048937934386, 0.9341464396606501
acuteChronicRatio, fatigue, 5, 0.01805099866704296, 0.9330937090325188
acuteChronicRatio, fatigueSliding, 1, 0.02008509507856293, 0.4333949177552429
acuteChronicRatio, fatigueSliding, 2, 0.02116688889005336, 0.4331556248298324
acuteChronicRatio, fatigueSliding, 3, 0.02185790639711782, 0.433002702456248
acuteChronicRatio, fatigueSliding, 4, 0.0232514267263062, 0.43269415161533553
acuteChronicRatio, fatigueSliding, 5, 0.023741353913992125, 0.4325856205029611
acuteChronicRatioSliding, fatigue, 1, 0.009608057456754748, 0.9370965613000907
acuteChronicRatioSliding, fatigue, 2, 0.011652157227383886, 0.9361290108893663
acuteChronicRatioSliding, fatigue, 3, 0.012957943289204854, 0.9355104087251802
acuteChronicRatioSliding, fatigue, 4, 0.01296186139829325, 0.9355085519474231
acuteChronicRatioSliding, fatigue, 5, 0.012964212782013429, 0.9355074376333945
acuteChronicRatioSliding, fatigueSliding, 1, 0.04979925392305595, 0.4267733736440009
acuteChronicRatioSliding, fatigueSliding, 2, 0.056441685942858255, 0.4252790658586212
acuteChronicRatioSliding, fatigueSliding, 3, 0.06436776057373172, 0.42348908516264516
acuteChronicRatioSliding, fatigueSliding, 4, 0.06438365169235993, 0.4234854888009649
acuteChronicRatioSliding, fatigueSliding, 5, 0.0644049888883449, 0.42348065987487477
trainDuration, fatigue, 1, 5.0822291287611066e-05, 0.9416071742612147
trainDuration, fatigue, 2, 0.012471153985138428, 0.9357410677550868
trainDuration, fatigue, 3, 0.013896304669714699, 0.935065617355964
trainDuration, fatigue, 4, 0.013898065157994188, 0.9350647826705234
trainDuration, fatigue, 5, 0.014919170525778735, 0.9345805289964783
trainDuration, fatigueSliding, 1, 0.005665886504954143, 0.43657192341912243
trainDuration, fatigueSliding, 2, 0.011896458365940221, 0.43520197785299036
